Numero da amostra	Local-Etapa	Nome da amostra	TOTAL	Acetoanaerobium noterae	Achromobacter piechaudii	Achromobacter xylosoxidans	Acidovorax delafieldii	Acinetobacter baylyi	Acinetobacter bouvetii	Acinetobacter guillouiae	Acinetobacter gyllenbergii	Acinetobacter indicus	Acinetobacter johnsonii	Acinetobacter sp.	Acinetobacter ursingii	Aeromicrobium ginsengisoli	Aeromicrobium tamlense	Aeromonas caviae	Aeromonas dhakensis	Aeromonas hydrophila	Aeromonas salmonicida	Agrobacterium tumefaciens	Agromyces ulmi	Albidovulum inexpectatum	Alcaligenes faecalis	Alcaligenes sp.	Alcanivorax pacificus	Alicycliphilus denitrificans	Alkaliphilus oremlandii	Altererythrobacter epoxidivorans	Aminobacter aminovorans	Angustibacter aerolatus	Anoxybacillus amylolyticus	Anoxybacillus flavithermus	Aquamicrobium aerolatum	Aquamicrobium aestuarii	Aquamicrobium ahrensii	Aquamicrobium defluvii	Aquimonas voraii	Arcobacter butzleri	Aromatoleum aromaticum	Arthrobacter arilaitensis	Arthrobacter kerguelensis	Arthrobacter phenanthrenivorans	Arthrobacter ureafaciens	Azoarcus sp.	Azospira restricta	Bacillus bataviensis	Bacillus beringensis	Bacillus cereus sp. group	Bacillus circulans	Bacillus drentensis	Bacillus firmus	Bacillus funiculus	Bacillus hwajinpoensis	Bacillus niacini	Bacillus pichinotyi	Bacillus pumilus	Bacillus subtilis group	Bacteroides vulgatus	Bartonella elizabethae	Bifidobacterium longum	Bordetella trematum	Bosea massiliensis	Bosea minatitlanensis	Bosea thiooxidans	Bradyrhizobium elkanii	Bradyrhizobium genosp. SA-1	Bradyrhizobium japonicum	Brevibacterium casei	Brevundimonas abyssalis	Brevundimonas bullata	Brevundimonas diminuta	Brevundimonas faecalis	Brevundimonas terrae	Brucella melitensis	Burkholderia fungorum	Burkholderia sp.	Caldimonas manganoxidans	Castellaniella denitrificans	Cellulomonas hominis	Clostridium beijerinckii	Clostridium botulinum	Clostridium butyricum	Clostridium malenominatum	Clostridium maritimum	Clostridium pasteurianum	Clostridium peptidivorans	Clostridium sartagoforme	Clostridium subterminale	Clostridium tunisiense	Comamonas aquatica	Comamonas testosteroni	Defluviimonas denitrificans	Delftia tsuruhatensis	Denitratisoma oestradiolicum	Denitromonas indolicum	Desulfomicrobium baculatum	Desulfovibrio alaskensis	Desulfovibrio desulfuricans	Devosia chinhatensis	Devosia epidermidihirudinis	Devosia hwasunensis	Devosia insulae	Devosia riboflavina	Devosia submarina	Devosia terrae	Dietzia maris	Dyadobacter fermentans	Dysgonomonas gadei	Dysgonomonas oryzarvi	Edaphobacter aggregans	Empedobacter falsenii	Ensifer adhaerens	Enterobacter cloacae	Enterobacter ludwigii	Enterobacteriaceae sp.	Enterococcus casseliflavus	Enterococcus malodoratus	Enterococcus raffinosus	Escherichia coli	Fusibacter tunisiensis	Gemmobacter aquaticus	Geoalkalibacter subterraneus	Gordonia caeni	Gordonia hirsuta	Gordonia neofelifaecis	Granulicatella adiacens	Hahella chejuensis	Halobacillus salinus	Halomonas aquamarina	Halothiobacillus neapolitanus	Hoeflea halophila	Hoeflea phototrophica	Hoeflea siderophila	Hydrogenophaga intermedia	Hydrogenophaga pseudoflava	Hyphomicrobium denitrificans	Hyphomicrobium nitrativorans	Hyphomicrobium vulgare	Hyphomicrobium zavarzinii	Hyphomonas neptunium	Hyphomonas polymorpha	Idiomarina maris	Lactobacillus brevis	Lactobacillus casei	Lactobacillus kefiranofaciens	Lactobacillus ruminis	Lactobacillus salivarius	Lactococcus garvieae	Lactococcus lactis	Lentibacter algarum	Leptonema illini	Leucobacter albus	Leucobacter aridicollis	Leucobacter denitrificans	Leucobacter komagatae	Leucobacter tardus	Luteimonas composti	Lysinibacillus sphaericus	Macellibacteroides fermentans	Marinobacter alkaliphilus	Mesorhizobium amorphae	Mesorhizobium loti	Mesorhizobium mediterraneum	Mesorhizobium thiogangeticum	Mesorhizobium tianshanense	Mesotoga prima	Methanosarcina mazei	Methylobacterium extorquens	Methylobacterium komagatae	Methylobacterium radiotolerans	Microbacterium pygmaeum	Morganella morganii	Mycobacterium algericum	Mycobacterium peregrinum	Mycobacterium senuense	Mycoplana ramosa	Myroides odoratus	Neisseria oralis	Neorhizobium galegae	Neorhizobium huautlense	Nitratireductor indicus	Nitratireductor kimnyeongensis	Nitratireductor lucknowense	Nitrobacter vulgaris	Nitrobacter winogradskyi	Nitrosomonas europaea	Nitrosomonas eutropha	Nitrosomonas nitrosa	Ochrobactrum anthropi	Ochrobactrum daejeonense	Ochrobactrum rhizosphaerae	Oligotropha carboxidovorans	Paenochrobactrum glaciei	Pantoea agglomerans	Paracoccus aestuarii	Paracoccus alcaliphilus	Paracoccus alkenifer	Paracoccus aminovorans	Paracoccus chinensis	Paracoccus denitrificans	Paracoccus homiensis	Paracoccus kondratievae	Paracoccus marinus	Paracoccus pantotrophus	Paracoccus rhizosphaerae	Paracoccus saliphilus	Paracoccus seriniphilus	Paracoccus solventivorans	Paracoccus sphaerophysae	Paracoccus versutus	Paracoccus zeaxanthinifaciens	Parvibaculum lavamentivorans	Pelomonas puraquae	Phenylobacterium falsum	Phenylobacterium haematophilum	Phyllobacterium leguminum	Proteus penneri	Providencia rettgeri	Pseudochrobactrum saccharolyticum	Pseudomonas balearica	Pseudomonas caeni	Pseudomonas fluorescens	Pseudomonas koreensis	Pseudomonas mendocina	Pseudomonas nitroreducens	Pseudomonas pseudoalcaligenes	Pseudomonas putida	Pseudomonas resinovorans	Pseudomonas stutzeri	Pseudomonas xanthomarina	Pseudomonas xiamenensis	Pseudoruegeria aquimaris	Ralstonia pickettii	Rheinheimera aquimaris	Rhizobium cnuense	Rhizobium helanshanense	Rhizobium nepotum	Rhizobium rosettiformans	Rhizobium sphaerophysae	Rhodobacter litoralis	Rhodococcus erythropolis	Rhodococcus ruber	Rhodopseudomonas faecalis	Rhodopseudomonas palustris	Rhodopseudomonas parapalustris	Ruegeria atlantica	Ruegeria conchae	Seohaeicola saemankumensis	Shewanella decolorationis	Shinella daejeonensis	Shinella kummerowiae	Shinella yambaruensis	Shinella zoogloeoides	Simplicispira limi	Sinorhizobium fredii	Sphingobacterium composti Ten et al. 2007	Sphingobacterium mizutaii	Sphingobacterium multivorum	Sphingobium suberifaciens	Sphingobium yanoikuyae	Sphingomonas echinoides	Sphingomonas koreensis	Sphingomonas leidyi	Sphingomonas paucimobilis	Sphingopyxis granuli	Sphingopyxis macrogoltabida	Sphingopyxis terrae	Sphingopyxis ummariensis	Sphingosinicella soli	Sporacetigenium mesophilum	Stappia indica	Stappia taiwanensis	Stenotrophomonas maltophilia	Stenotrophomonas nitritireducens	Stenotrophomonas rhizophila	Stenotrophomonas sp.	Syntrophaceticus schinkii	Tepidamorphus gemmatus	Thauera aminoaromatica	Thauera aromatica	Thauera chlorobenzoica	Thauera phenylacetica	Thermomonas brevis	Thiobacillus thioparus	Trichococcus palustris	Vagococcus carniphilus	Vagococcus fluvialis	Vibrio fluvialis	Woodsholea maritima	[Clostridium] bifermentans	[Clostridium] ghonii	[Clostridium] methoxybenzovorans	[Clostridium] propionicum	[Clostridium] xylanolyticum	alpha proteobacterium WG1
180517464517.1.1.1	LTBR-UFSC	ANODO DMD1	15005	18	0	218	1	4	2	1	47	4	14	13	60	0	0	2	1	1	0	2	0	0	997	0	238	7	2	0	0	0	0	0	0	0	0	963	0	562	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	5	49	0	0	3	1	3	1	1	25	6	0	2	2	81	3	440	2	1	1	0	0	1	0	1	0	3	0	17	1	0	5	60	1	2	0	0	0	458	0	6	1268	4	55	272	47	152	0	11	0	1	0	0	43	67	0	3	0	1	0	3	1	5	1	2	21	0	2	1	0	0	3	0	0	2	348	0	1	9	1	0	0	0	0	1	1	93	1	2	10	8	1	0	5	1	0	9	9	13	6	2	1	3	9	289	1	1	0	0	3	0	431	361	0	1	0	0	19	0	130	0	2	2	1	5	1	54	1	0	0	0	0	0	0	3	4	0	0	29	0	0	1	0	1	0	31	0	0	3	2476	2	0	0	16	0	1	0	1	2	2	0	15	7	2	477	136	11	1	2	0	0	0	0	0	70	32	0	0	0	0	1	1111	3	2	7	0	93	3	1	0	0	4	1	0	0	0	9	38	8	57	0	1	5	1	0	1	2	60	2	0	28	5	5	0	35	1	1411	3	98	4	1	4	17	0	0	6	309	181	4	2	0	1	2	1	2	1	0	1	1	1	1
180517464518.1.1.1	LTBR-UFSC	CATODO DMD2	41717	6	2	45	22	0	0	0	0	0	0	0	0	1	1	1	0	9	8	1	1	2	92	1	0	599	0	1	1	1	1	1	1	61	1	68	4	0	2	1	6	0	2	3	3	1	1	1	2	2	2	9	1	92	685	245	3	1	0	0	0	8	17	40	20	1	7	0	0	0	21	0	0	1	2	1	2	5	1	1	5	1	6	2	3	3	0	0	0	1	19	22	26	1	15	1	0	0	7	2	62	2	11	2	2	2	1	0	0	1	0	8	4	1	13	0	0	0	0	0	3	0	0	2	1	1	2	1	0	0	2	0	0	6	1	1	13	4	4	0	1	0	0	3	4	0	2	0	0	1	2	0	0	2	0	0	0	1	0	0	10	2	1	0	1	0	10	1	0	3	3	0	3	16	1	54	0	0	0	0	5	1	1	6	5	6684	890	2	24	0	1	6	0	3	60	1	1	79	1	258	1	1	229	29572	179	2	6	130	11	5	6	5	3	0	2	0	0	0	39	1	0	2	28	2	20	3	1	10	263	2	1	6	2	4	0	1	8	3	0	3	28	3	22	1	1	18	5	2	3	1	39	28	13	127	23	2	14	0	2	1	2	1	4	1	29	0	4	1	19	3	2	0	36	0	0	0	0	1	1	8	57	90	25	4	2	0	0	1	5	0	1	0	0	0	3
