Numero da amostra	Local-Etapa	Nome da amostra	TOTAL	Acetoanaerobium	Achromobacter	Acidovorax	Acinetobacter	Aeromicrobium	Aeromonas	Agrobacterium	Agromyces	Albidovulum	Alcaligenes	Alcanivorax	Alicycliphilus	Alkaliphilus	Altererythrobacter	Aminobacter	Angustibacter	Anoxybacillus	Aquamicrobium	Aquimonas	Arcobacter	Aromatoleum	Arthrobacter	Azoarcus	Azospira	Bacillus	Bacteroides	Bartonella	Bifidobacterium	Bordetella	Bosea	Bradyrhizobium	Brevibacterium	Brevundimonas	Brucella	Burkholderia	Caldimonas	Castellaniella	Cellulomonas	Clostridium	Comamonas	Defluviimonas	Delftia	Denitratisoma	Denitromonas	Desulfomicrobium	Desulfovibrio	Devosia	Dietzia	Dyadobacter	Dysgonomonas	Edaphobacter	Empedobacter	Ensifer	Enterobacter	Enterococcus	Escherichia	Fusibacter	Gemmobacter	Geoalkalibacter	Gordonia	Granulicatella	Hahella	Halobacillus	Halomonas	Halothiobacillus	Hoeflea	Hydrogenophaga	Hyphomicrobium	Hyphomonas	Idiomarina	Lachnoclostridium	Lactobacillus	Lactococcus	Lentibacter	Leptonema	Leucobacter	Luteimonas	Lysinibacillus	Macellibacteroides	Marinobacter	Mesorhizobium	Mesotoga	Methanosarcina	Methylobacterium	Microbacterium	Morganella	Mycobacterium	Mycoplana	Myroides	Neisseria	Neorhizobium	Nitratireductor	Nitrobacter	Nitrosomonas	Ochrobactrum	Oligotropha	Paenochrobactrum	Pantoea	Paracoccus	Parvibaculum	Pelomonas	Peptoclostridium	Phenylobacterium	Phyllobacterium	Proteus	Providencia	Pseudochrobactrum	Pseudomonas	Pseudoruegeria	Ralstonia	Rheinheimera	Rhizobium	Rhodobacter	Rhodococcus	Rhodopseudomonas	Ruegeria	Seohaeicola	Shewanella	Shinella	Simplicispira	Sinorhizobium	Sphingobacterium	Sphingobium	Sphingomonas	Sphingopyxis	Sphingosinicella	Sporacetigenium	Stappia	Stenotrophomonas	Syntrophaceticus	Tepidamorphus	Thauera	Thermomonas	Thiobacillus	Trichococcus	Tyzzerella	Vagococcus	Vibrio	Woodsholea
180517464517.1.1.1	LTBR-UFSC	ANODO DMD1	15002	18	218	1	145	0	4	2	0	0	997	238	7	2	0	0	0	0	963	0	562	0	1	0	2	57	0	3	1	3	27	8	2	527	1	0	1	0	1	89	0	0	458	0	6	1268	59	483	0	0	110	0	3	0	1	7	2	21	0	2	1	3	0	0	2	348	10	1	1	94	1	2	21	6	0	9	31	3	9	289	1	5	431	361	1	0	19	130	2	2	1	6	55	0	0	7	0	29	0	2531	1	2	1	2	15	7	2	477	252	0	0	0	1124	0	96	1	5	0	0	55	57	0	7	1	64	38	35	1	1414	107	17	0	496	4	2	0	1	3	1	2
180517464518.1.1.1	LTBR-UFSC	CATODO DMD2	41704	6	47	22	0	2	18	1	1	2	93	0	599	0	1	1	1	2	131	4	0	2	9	3	3	1044	1	0	0	0	65	28	0	21	1	3	2	5	1	21	20	22	26	1	15	1	0	88	2	1	0	1	0	8	5	0	0	0	3	0	3	1	2	1	0	0	2	7	22	1	0	0	9	0	1	2	2	0	1	0	0	17	0	10	4	3	0	20	54	0	0	0	7	11	7576	25	6	0	3	30542	5	3	1	2	0	0	0	39	333	6	2	4	12	3	31	24	23	2	3	81	127	23	16	3	8	34	19	3	2	36	0	1	156	25	4	2	0	0	1	5
